business_id,name,category,address,city,state,zip_code,phone,website,email,description,rating,review_count
biz_001,Mario's Italian Restaurant,Restaurant,123 Main Street,Downtown,CA,90210,(555) 123-4567,https://marios-italian.com,info@marios-italian.com,Authentic Italian cuisine in the heart of downtown. Family recipes passed down for generations.,4.5,127
biz_002,QuickFix Auto Repair,Automotive,456 Industrial Blvd,Riverside,CA,92501,(555) 987-6543,https://quickfix-auto.com,service@quickfix-auto.com,Professional auto repair and maintenance services. ASE certified technicians.,4.2,89
biz_003,Downtown Dental Care,Healthcare,789 Oak Avenue,Downtown,CA,90210,(555) 555-0199,https://downtowndental.com,appointments@downtowndental.com,Complete family dental care with state-of-the-art equipment.,4.8,203
biz_004,The Coffee Corner,Restaurant,321 Elm Street,Riverside,CA,92501,(555) 444-0156,https://coffeecorner.com,hello@coffeecorner.com,Premium coffee and fresh pastries. Free WiFi and cozy atmosphere.,4.3,156
biz_005,TechFix Computer Repair,Professional Services,654 Tech Drive,Silicon Valley,CA,94043,(555) 333-0123,https://techfix-repair.com,support@techfix-repair.com,Expert computer and laptop repair services. Data recovery specialists.,4.6,74
biz_006,Sunset Yoga Studio,Healthcare,987 Wellness Way,Malibu,CA,90265,(555) 222-0187,https://sunset-yoga.com,namaste@sunset-yoga.com,Peaceful yoga classes with ocean views. All levels welcome.,4.7,198
biz_007,Pete's Pizza Palace,Restaurant,147 Slice Street,Hollywood,CA,90028,(555) 111-0143,https://petes-pizza.com,orders@petes-pizza.com,New York style pizza made fresh daily. Delivery and pickup available.,4.1,312
biz_008,Elite Fitness Gym,Healthcare,258 Muscle Avenue,Beverly Hills,CA,90210,(555) 666-0122,https://elite-fitness.com,info@elite-fitness.com,Premium fitness facility with personal training and group classes.,4.4,267
biz_009,Garden Grove Nursery,Retail,369 Green Thumb Lane,Garden Grove,CA,92840,(555) 777-0165,https://garden-grove-nursery.com,plants@garden-grove-nursery.com,Complete plant nursery with landscaping services. Expert advice included.,4.3,145
biz_010,Luxury Car Wash,Automotive,741 Shine Boulevard,Newport Beach,CA,92660,(555) 888-0134,https://luxury-carwash.com,clean@luxury-carwash.com,Premium car detailing and wash services. Eco-friendly products used.,4.5,98
biz_011,Smith & Associates Law,Professional Services,852 Justice Way,San Francisco,CA,94102,(555) 999-0176,https://smith-law.com,contact@smith-law.com,Experienced legal representation for business and personal matters.,4.6,87
biz_012,Fresh Market Grocery,Retail,963 Market Street,San Francisco,CA,94102,(555) 000-0198,https://fresh-market.com,info@fresh-market.com,Organic and locally sourced groceries. Fresh produce delivered daily.,4.2,189
biz_013,Coastal Veterinary Clinic,Healthcare,159 Pet Care Drive,Santa Monica,CA,90401,(555) 101-0145,https://coastal-vet.com,care@coastal-vet.com,Comprehensive veterinary care for cats and dogs. Emergency services available.,4.8,234
biz_014,Artisan Bakery,Restaurant,357 Bread Lane,Pasadena,CA,91101,(555) 202-0167,https://artisan-bakery.com,orders@artisan-bakery.com,Handcrafted breads and pastries made from scratch daily.,4.4,156
biz_015,ProClean Services,Professional Services,753 Sparkle Street,Long Beach,CA,90802,(555) 303-0189,https://proclean-services.com,book@proclean-services.com,Professional residential and commercial cleaning services.,4.3,112
biz_016,Horizon Real Estate,Professional Services,951 Property Avenue,Irvine,CA,92602,(555) 404-0134,https://horizon-realestate.com,sell@horizon-realestate.com,Full-service real estate agency specializing in luxury properties.,4.7,156
biz_017,Beach Bike Rentals,Retail,246 Coastal Highway,Venice,CA,90291,(555) 505-0123,https://beach-bike-rentals.com,ride@beach-bike-rentals.com,Bike rentals and tours along the beautiful California coast.,4.5,203
biz_018,Golden State Insurance,Professional Services,135 Coverage Boulevard,Sacramento,CA,95814,(555) 606-0178,https://golden-state-insurance.com,quotes@golden-state-insurance.com,Comprehensive insurance solutions for auto home and business.,4.2,98
biz_019,Oceanview Spa,Healthcare,468 Relaxation Road,Half Moon Bay,CA,94019,(555) 707-0145,https://oceanview-spa.com,relax@oceanview-spa.com,Luxurious spa treatments with stunning ocean views.,4.9,178
biz_020,Metro Plumbing,Professional Services,579 Pipe Street,Los Angeles,CA,90012,(555) 808-0167,https://metro-plumbing.com,help@metro-plumbing.com,24/7 emergency plumbing services. Licensed and insured professionals.,4.4,234
biz_021,The Book Nook,Retail,681 Literature Lane,Berkeley,CA,94704,(555) 909-0189,https://book-nook.com,browse@book-nook.com,Independent bookstore with rare finds and local author events.,4.6,145
biz_022,Sunrise Photography,Professional Services,792 Shutter Street,Napa,CA,94558,(555) 010-0123,https://sunrise-photography.com,capture@sunrise-photography.com,Professional wedding and portrait photography services.,4.8,167
biz_023,Valley Hardware Store,Retail,813 Tool Avenue,Fresno,CA,93701,(555) 121-0145,https://valley-hardware.com,build@valley-hardware.com,Complete hardware store with expert advice and quality tools.,4.1,189
biz_024,Serenity Day Spa,Healthcare,924 Calm Circle,Carmel,CA,93921,(555) 232-0167,https://serenity-spa.com,book@serenity-spa.com,Peaceful spa retreat offering massage therapy and wellness treatments.,4.7,123
biz_025,Tony's Tire Service,Automotive,035 Rubber Road,Bakersfield,CA,93301,(555) 343-0189,https://tonys-tires.com,wheels@tonys-tires.com,Complete tire sales installation and automotive services.,4.3,198
